,GC Util,GCInterval,JVM,Time,benchmark,heapSize,numThreads
0,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
1,46.0,100.0,JDK0.5-1-0.5,13805.0,pmd,100.0,100.0
2,43.0,100.0,JDK0.5-1-0.5,14083.0,pmd,100.0,100.0
3,126.0,100.0,JDK0.5-1-0.5,14249.0,pmd,100.0,100.0
4,101.0,100.0,JDK0.5-1-0.5,14342.0,pmd,100.0,100.0
5,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
6,78.0,100.0,JDK0.5-1-0.5,16944.0,pmd,100.0,100.0
7,38.0,100.0,JDK0.5-1-0.5,17259.0,pmd,100.0,12.5
8,133.0,100.0,JDK0.5-1-0.5,17422.0,pmd,100.0,100.0
9,74.0,100.0,JDK0.5-1-0.5,17530.0,pmd,100.0,100.0
10,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
11,45.0,100.0,JDK0.5-1-0.5,13460.0,pmd,100.0,100.0
12,44.0,100.0,JDK0.5-1-0.5,13714.0,pmd,100.0,100.0
13,0.0,100.0,JDK0.5-1-0.5,13893.0,pmd,100.0,100.0
14,91.0,100.0,JDK0.5-1-0.5,13987.0,pmd,100.0,100.0
15,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
16,47.0,100.0,JDK0.5-1-0.5,15507.0,pmd,100.0,100.0
17,34.0,100.0,JDK0.5-1-0.5,15887.0,pmd,100.0,100.0
18,0.0,100.0,JDK0.5-1-0.5,16080.0,pmd,100.0,100.0
19,95.0,100.0,JDK0.5-1-0.5,16168.0,pmd,100.0,100.0
20,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
21,67.0,100.0,JDK0.5-1-0.5,16290.0,pmd,100.0,100.0
22,122.0,100.0,JDK0.5-1-0.5,16636.0,pmd,100.0,100.0
23,132.0,100.0,JDK0.5-1-0.5,16844.0,pmd,100.0,100.0
24,111.0,100.0,JDK0.5-1-0.5,16958.0,pmd,100.0,100.0
25,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
26,42.0,100.0,JDK0.5-1-0.5,15080.0,pmd,100.0,100.0
27,43.0,100.0,JDK0.5-1-0.5,15441.0,pmd,100.0,100.0
28,113.0,100.0,JDK0.5-1-0.5,15593.0,pmd,100.0,100.0
29,0.0,100.0,JDK0.5-1-0.5,15683.0,pmd,100.0,100.0
30,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
31,75.0,100.0,JDK0.5-1-0.5,12888.0,pmd,100.0,100.0
32,42.0,100.0,JDK0.5-1-0.5,13160.0,pmd,100.0,100.0
33,0.0,100.0,JDK0.5-1-0.5,13323.0,pmd,100.0,100.0
34,45.0,100.0,JDK0.5-1-0.5,13433.0,pmd,100.0,100.0
35,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
36,61.0,100.0,JDK0.5-1-0.5,14178.0,pmd,100.0,100.0
37,51.0,100.0,JDK0.5-1-0.5,14699.0,pmd,100.0,12.5
38,0.0,100.0,JDK0.5-1-0.5,14890.0,pmd,100.0,100.0
39,146.0,100.0,JDK0.5-1-0.5,14983.0,pmd,100.0,100.0
40,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
41,42.0,100.0,JDK0.5-1-0.5,14915.0,pmd,100.0,100.0
42,37.0,100.0,JDK0.5-1-0.5,15252.0,pmd,100.0,12.5
43,128.0,100.0,JDK0.5-1-0.5,15443.0,pmd,100.0,100.0
44,0.0,100.0,JDK0.5-1-0.5,15534.0,pmd,100.0,100.0
45,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
46,75.0,100.0,JDK0.5-1-0.5,14558.0,pmd,100.0,100.0
47,36.0,100.0,JDK0.5-1-0.5,14911.0,pmd,100.0,100.0
48,0.0,100.0,JDK0.5-1-0.5,15075.0,pmd,100.0,100.0
49,45.0,100.0,JDK0.5-1-0.5,15167.0,pmd,100.0,100.0
50,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
51,63.0,100.0,JDK0.5-1-0.5,16120.0,pmd,100.0,100.0
52,43.0,100.0,JDK0.5-1-0.5,16395.0,pmd,100.0,100.0
53,134.0,100.0,JDK0.5-1-0.5,16573.0,pmd,100.0,100.0
54,0.0,100.0,JDK0.5-1-0.5,16665.0,pmd,100.0,100.0
55,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
56,43.0,100.0,JDK0.5-1-0.5,14628.0,pmd,100.0,100.0
57,68.0,100.0,JDK0.5-1-0.5,14922.0,pmd,100.0,100.0
58,119.0,100.0,JDK0.5-1-0.5,15096.0,pmd,100.0,100.0
59,0.0,100.0,JDK0.5-1-0.5,15191.0,pmd,100.0,100.0
60,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
61,46.0,100.0,JDK0.5-1-0.5,17945.0,pmd,100.0,100.0
62,119.0,100.0,JDK0.5-1-0.5,18632.0,pmd,100.0,100.0
63,0.0,100.0,JDK0.5-1-0.5,18790.0,pmd,100.0,100.0
64,148.0,100.0,JDK0.5-1-0.5,18924.0,pmd,100.0,100.0
65,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
66,58.0,100.0,JDK0.5-1-0.5,10901.0,pmd,100.0,100.0
67,56.0,100.0,JDK0.5-1-0.5,11162.0,pmd,100.0,100.0
68,154.0,100.0,JDK0.5-1-0.5,11322.0,pmd,100.0,100.0
69,0.0,100.0,JDK0.5-1-0.5,11412.0,pmd,100.0,100.0
70,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
71,46.0,100.0,JDK0.5-1-0.5,14044.0,pmd,100.0,100.0
72,32.0,100.0,JDK0.5-1-0.5,14347.0,pmd,100.0,100.0
73,101.0,100.0,JDK0.5-1-0.5,14514.0,pmd,100.0,100.0
74,0.0,100.0,JDK0.5-1-0.5,14617.0,pmd,100.0,100.0
75,0.0,0.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
76,0.0,100.0,JDK0.5-1-0.5,0.0,pmd,100.0,100.0
77,67.0,100.0,JDK0.5-1-0.5,13258.0,pmd,100.0,100.0
78,43.0,100.0,JDK0.5-1-0.5,13573.0,pmd,100.0,12.5
79,154.0,100.0,JDK0.5-1-0.5,13727.0,pmd,100.0,100.0
80,131.0,100.0,JDK0.5-1-0.5,13817.0,pmd,100.0,100.0
0,0.0,100.0,JDK0.5-0.5-1,0.0,pmd,100.0,100.0
1,45.0,100.0,JDK0.5-0.5-1,11645.0,pmd,100.0,100.0
2,48.0,100.0,JDK0.5-0.5-1,11913.0,pmd,100.0,100.0
3,121.0,100.0,JDK0.5-0.5-1,12099.0,pmd,100.0,100.0
4,44.0,100.0,JDK0.5-0.5-1,12190.0,pmd,100.0,100.0
5,0.0,100.0,JDK0.5-0.5-1,0.0,pmd,100.0,100.0
6,85.0,100.0,JDK0.5-0.5-1,11624.0,pmd,100.0,100.0
7,112.0,100.0,JDK0.5-0.5-1,11843.0,pmd,100.0,100.0
