,GC Util,GCInterval,JVM,Time,benchmark,heapSize,numThreads
0,0.0,100.0,JDK1.5-1-1.5,0.0,sunflow,100.0,100.0
1,70.0,100.0,JDK1.5-1-1.5,424.0,sunflow,100.0,100.0
2,39.0,100.0,JDK1.5-1-1.5,659.0,sunflow,100.0,12.5
3,121.0,100.0,JDK1.5-1-1.5,745.0,sunflow,100.0,100.0
4,0.0,100.0,JDK1.5-1-1.5,787.0,sunflow,100.0,100.0
5,37.0,100.0,JDK1.5-1-1.5,840.0,sunflow,100.0,100.0
6,159.0,100.0,JDK1.5-1-1.5,890.0,sunflow,100.0,100.0
7,188.0,100.0,JDK1.5-1-1.5,926.0,sunflow,100.0,100.0
8,157.0,100.0,JDK1.5-1-1.5,962.0,sunflow,100.0,100.0
9,193.0,100.0,JDK1.5-1-1.5,1012.0,sunflow,100.0,100.0
10,130.0,100.0,JDK1.5-1-1.5,1064.0,sunflow,100.0,12.5
11,193.0,100.0,JDK1.5-1-1.5,1111.0,sunflow,100.0,100.0
12,75.0,100.0,JDK1.5-1-1.5,1146.0,sunflow,100.0,12.5
13,0.0,100.0,JDK1.5-1-1.5,0.0,sunflow,100.0,100.0
14,88.0,100.0,JDK1.5-1-1.5,405.0,sunflow,100.0,100.0
15,51.0,100.0,JDK1.5-1-1.5,600.0,sunflow,100.0,100.0
16,0.0,100.0,JDK1.5-1-1.5,684.0,sunflow,100.0,100.0
17,157.0,100.0,JDK1.5-1-1.5,734.0,sunflow,100.0,100.0
18,123.0,100.0,JDK1.5-1-1.5,795.0,sunflow,100.0,100.0
19,161.0,100.0,JDK1.5-1-1.5,841.0,sunflow,100.0,100.0
20,146.0,100.0,JDK1.5-1-1.5,883.0,sunflow,100.0,100.0
21,116.0,100.0,JDK1.5-1-1.5,908.0,sunflow,100.0,100.0
22,107.0,100.0,JDK1.5-1-1.5,938.0,sunflow,100.0,100.0
23,149.0,100.0,JDK1.5-1-1.5,983.0,sunflow,100.0,100.0
24,143.0,100.0,JDK1.5-1-1.5,1048.0,sunflow,100.0,100.0
25,125.0,100.0,JDK1.5-1-1.5,1109.0,sunflow,100.0,100.0
26,124.0,100.0,JDK1.5-1-1.5,1149.0,sunflow,100.0,12.5
27,0.0,100.0,JDK1.5-1-1.5,0.0,sunflow,100.0,100.0
28,72.0,100.0,JDK1.5-1-1.5,439.0,sunflow,100.0,100.0
29,40.0,100.0,JDK1.5-1-1.5,652.0,sunflow,100.0,100.0
30,143.0,100.0,JDK1.5-1-1.5,707.0,sunflow,100.0,100.0
31,137.0,100.0,JDK1.5-1-1.5,761.0,sunflow,100.0,12.5
32,113.0,100.0,JDK1.5-1-1.5,810.0,sunflow,100.0,100.0
33,166.0,100.0,JDK1.5-1-1.5,864.0,sunflow,100.0,100.0
34,115.0,100.0,JDK1.5-1-1.5,911.0,sunflow,100.0,100.0
35,170.0,100.0,JDK1.5-1-1.5,959.0,sunflow,100.0,100.0
36,128.0,100.0,JDK1.5-1-1.5,1010.0,sunflow,100.0,12.5
37,259.0,100.0,JDK1.5-1-1.5,1062.0,sunflow,100.0,12.5
38,61.0,100.0,JDK1.5-1-1.5,1110.0,sunflow,100.0,12.5
39,0.0,100.0,JDK1.5-1-1.5,0.0,sunflow,100.0,100.0
40,68.0,100.0,JDK1.5-1-1.5,777.0,sunflow,100.0,100.0
41,35.0,100.0,JDK1.5-1-1.5,1014.0,sunflow,100.0,100.0
42,172.0,100.0,JDK1.5-1-1.5,1102.0,sunflow,100.0,100.0
43,124.0,100.0,JDK1.5-1-1.5,1152.0,sunflow,100.0,100.0
