,GC Util,GCInterval,JVM,Time,benchmark,heapSize,numThreads
0,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
1,32.0,100.0,JDK1.5-1-0.5,682.0,pmd,100.0,100.0
2,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
3,33.0,100.0,JDK1.5-1-0.5,610.0,pmd,100.0,100.0
4,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
5,30.0,100.0,JDK1.5-1-0.5,1347.0,pmd,100.0,100.0
6,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
7,37.0,100.0,JDK1.5-1-0.5,592.0,pmd,100.0,100.0
8,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
9,33.0,100.0,JDK1.5-1-0.5,692.0,pmd,100.0,100.0
10,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
11,33.0,100.0,JDK1.5-1-0.5,716.0,pmd,100.0,100.0
12,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
13,34.0,100.0,JDK1.5-1-0.5,584.0,pmd,100.0,100.0
14,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
15,31.0,100.0,JDK1.5-1-0.5,768.0,pmd,100.0,100.0
16,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
17,35.0,100.0,JDK1.5-1-0.5,752.0,pmd,100.0,100.0
18,0.0,0.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
19,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
20,31.0,100.0,JDK1.5-1-0.5,611.0,pmd,100.0,100.0
21,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
22,30.0,100.0,JDK1.5-1-0.5,729.0,pmd,100.0,100.0
23,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
24,32.0,100.0,JDK1.5-1-0.5,618.0,pmd,100.0,100.0
25,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
26,31.0,100.0,JDK1.5-1-0.5,717.0,pmd,100.0,100.0
27,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
28,33.0,100.0,JDK1.5-1-0.5,784.0,pmd,100.0,100.0
29,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
30,30.0,100.0,JDK1.5-1-0.5,723.0,pmd,100.0,100.0
31,0.0,100.0,JDK1.5-1-0.5,0.0,pmd,100.0,100.0
32,38.0,100.0,JDK1.5-1-0.5,582.0,pmd,100.0,100.0
0,0.0,,JDKF,0.0,pmd,,
1,0.0,,JDKF,0.0,pmd,,
2,68.0,,JDKF,865.0,pmd,,
3,68.0,,JDKF,865.0,pmd,,
4,78.0,,JDKF,1077.0,pmd,,
5,78.0,,JDKF,1077.0,pmd,,
6,64.0,,JDKF,1295.0,pmd,,
7,0.0,,JDKF,0.0,pmd,,
8,0.0,,JDKF,0.0,pmd,,
9,58.0,,JDKF,515.0,pmd,,
10,58.0,,JDKF,515.0,pmd,,
11,83.0,,JDKF,680.0,pmd,,
12,83.0,,JDKF,680.0,pmd,,
13,0.0,,JDKF,854.0,pmd,,
14,0.0,,JDKF,854.0,pmd,,
15,94.0,,JDKF,870.0,pmd,,
16,0.0,,JDKF,0.0,pmd,,
17,0.0,,JDKF,0.0,pmd,,
18,55.0,,JDKF,529.0,pmd,,
19,55.0,,JDKF,529.0,pmd,,
20,77.0,,JDKF,701.0,pmd,,
21,77.0,,JDKF,701.0,pmd,,
22,76.0,,JDKF,892.0,pmd,,
23,0.0,,JDKF,0.0,pmd,,
24,0.0,,JDKF,0.0,pmd,,
25,10.0,,JDKF,501.0,pmd,,
26,10.0,,JDKF,501.0,pmd,,
27,83.0,,JDKF,674.0,pmd,,
28,83.0,,JDKF,674.0,pmd,,
29,89.0,,JDKF,871.0,pmd,,
30,0.0,,JDKF,0.0,pmd,,
31,0.0,,JDKF,0.0,pmd,,
32,57.0,,JDKF,608.0,pmd,,
33,57.0,,JDKF,608.0,pmd,,
34,72.0,,JDKF,789.0,pmd,,
35,72.0,,JDKF,789.0,pmd,,
36,77.0,,JDKF,992.0,pmd,,
37,0.0,,JDKF,0.0,pmd,,
38,0.0,,JDKF,0.0,pmd,,
39,53.0,,JDKF,498.0,pmd,,
40,53.0,,JDKF,498.0,pmd,,
41,79.0,,JDKF,674.0,pmd,,
42,79.0,,JDKF,674.0,pmd,,
43,73.0,,JDKF,869.0,pmd,,
44,0.0,,JDKF,0.0,pmd,,
45,0.0,,JDKF,0.0,pmd,,
46,50.0,,JDKF,484.0,pmd,,
47,50.0,,JDKF,484.0,pmd,,
48,77.0,,JDKF,650.0,pmd,,
49,77.0,,JDKF,650.0,pmd,,
50,89.0,,JDKF,849.0,pmd,,
51,0.0,,JDKF,0.0,pmd,,
52,0.0,,JDKF,0.0,pmd,,
53,63.0,,JDKF,618.0,pmd,,
54,63.0,,JDKF,618.0,pmd,,
55,77.0,,JDKF,809.0,pmd,,
56,77.0,,JDKF,809.0,pmd,,
57,64.0,,JDKF,1132.0,pmd,,
58,0.0,,JDKF,0.0,pmd,,
59,0.0,,JDKF,0.0,pmd,,
60,56.0,,JDKF,513.0,pmd,,
61,56.0,,JDKF,513.0,pmd,,
62,85.0,,JDKF,683.0,pmd,,
63,85.0,,JDKF,683.0,pmd,,
64,1.0,,JDKF,845.0,pmd,,
65,1.0,,JDKF,845.0,pmd,,
66,94.0,,JDKF,861.0,pmd,,
67,0.0,,JDKF,0.0,pmd,,
68,0.0,,JDKF,0.0,pmd,,
69,16.0,,JDKF,611.0,pmd,,
70,16.0,,JDKF,611.0,pmd,,
71,77.0,,JDKF,784.0,pmd,,
72,77.0,,JDKF,784.0,pmd,,
73,0.0,,JDKF,944.0,pmd,,
74,0.0,,JDKF,944.0,pmd,,
75,107.0,,JDKF,951.0,pmd,,
76,0.0,,JDKF,0.0,pmd,,
77,0.0,,JDKF,0.0,pmd,,
78,59.0,,JDKF,536.0,pmd,,
79,59.0,,JDKF,536.0,pmd,,
80,80.0,,JDKF,704.0,pmd,,
81,80.0,,JDKF,704.0,pmd,,
82,73.0,,JDKF,886.0,pmd,,
83,0.0,,JDKF,0.0,pmd,,
84,0.0,,JDKF,0.0,pmd,,
85,20.0,,JDKF,589.0,pmd,,
86,20.0,,JDKF,589.0,pmd,,
