,GC Util,GCInterval,JVM,Time,benchmark,heapSize,numThreads
0,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
1,93.0,100.0,JDK0.5-0.5-1,13269.0,avrora,100.0,100.0
2,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
3,33.0,100.0,JDK0.5-0.5-1,11787.0,avrora,100.0,100.0
4,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
5,32.0,100.0,JDK0.5-0.5-1,11015.0,avrora,100.0,100.0
6,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
7,33.0,100.0,JDK0.5-0.5-1,12406.0,avrora,100.0,100.0
8,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
9,97.0,100.0,JDK0.5-0.5-1,11870.0,avrora,100.0,100.0
10,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
11,33.0,100.0,JDK0.5-0.5-1,11562.0,avrora,100.0,100.0
12,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
13,32.0,100.0,JDK0.5-0.5-1,11548.0,avrora,100.0,100.0
14,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
15,32.0,100.0,JDK0.5-0.5-1,11365.0,avrora,100.0,100.0
16,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
17,32.0,100.0,JDK0.5-0.5-1,11618.0,avrora,100.0,100.0
18,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
19,33.0,100.0,JDK0.5-0.5-1,10959.0,avrora,100.0,100.0
20,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
21,30.0,100.0,JDK0.5-0.5-1,10752.0,avrora,100.0,100.0
22,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
23,31.0,100.0,JDK0.5-0.5-1,11047.0,avrora,100.0,100.0
24,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
25,33.0,100.0,JDK0.5-0.5-1,11622.0,avrora,100.0,100.0
26,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
27,41.0,100.0,JDK0.5-0.5-1,11897.0,avrora,100.0,100.0
28,0.0,0.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
29,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
30,66.0,100.0,JDK0.5-0.5-1,10771.0,avrora,100.0,100.0
31,0.0,100.0,JDK0.5-0.5-1,0.0,avrora,100.0,100.0
32,43.0,100.0,JDK0.5-0.5-1,12141.0,avrora,100.0,100.0
0,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
1,33.0,100.0,JDK1.5-1-1,811.0,avrora,100.0,100.0
2,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
3,30.0,100.0,JDK1.5-1-1,813.0,avrora,100.0,100.0
4,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
5,31.0,100.0,JDK1.5-1-1,819.0,avrora,100.0,100.0
6,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
7,40.0,100.0,JDK1.5-1-1,806.0,avrora,100.0,100.0
8,0.0,0.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
9,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
10,44.0,100.0,JDK1.5-1-1,504.0,avrora,100.0,100.0
11,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
12,35.0,100.0,JDK1.5-1-1,805.0,avrora,100.0,100.0
13,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
14,34.0,100.0,JDK1.5-1-1,790.0,avrora,100.0,100.0
15,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
16,38.0,100.0,JDK1.5-1-1,691.0,avrora,100.0,100.0
17,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
18,33.0,100.0,JDK1.5-1-1,795.0,avrora,100.0,100.0
19,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
20,32.0,100.0,JDK1.5-1-1,812.0,avrora,100.0,100.0
21,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
22,31.0,100.0,JDK1.5-1-1,791.0,avrora,100.0,100.0
23,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
24,32.0,100.0,JDK1.5-1-1,791.0,avrora,100.0,100.0
25,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
26,35.0,100.0,JDK1.5-1-1,854.0,avrora,100.0,100.0
27,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
28,33.0,100.0,JDK1.5-1-1,812.0,avrora,100.0,100.0
29,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
30,37.0,100.0,JDK1.5-1-1,812.0,avrora,100.0,100.0
31,0.0,100.0,JDK1.5-1-1,0.0,avrora,100.0,100.0
32,38.0,100.0,JDK1.5-1-1,819.0,avrora,100.0,100.0
0,0.0,100.0,JDK1.5-1-1.5,0.0,avrora,100.0,100.0
1,35.0,100.0,JDK1.5-1-1.5,10667.0,avrora,100.0,100.0
2,0.0,100.0,JDK1.5-1-1.5,0.0,avrora,100.0,100.0
3,93.0,100.0,JDK1.5-1-1.5,10051.0,avrora,100.0,100.0
4,0.0,100.0,JDK1.5-1-1.5,0.0,avrora,100.0,100.0
5,35.0,100.0,JDK1.5-1-1.5,10727.0,avrora,100.0,100.0
6,0.0,100.0,JDK1.5-1-1.5,0.0,avrora,100.0,100.0
7,109.0,100.0,JDK1.5-1-1.5,10796.0,avrora,100.0,100.0
8,0.0,100.0,JDK1.5-1-1.5,0.0,avrora,100.0,100.0
9,33.0,100.0,JDK1.5-1-1.5,10832.0,avrora,100.0,100.0
10,0.0,0.0,JDK1.5-1-1.5,0.0,avrora,100.0,100.0
11,0.0,100.0,JDK1.5-1-1.5,0.0,avrora,100.0,100.0
12,33.0,100.0,JDK1.5-1-1.5,11006.0,avrora,100.0,100.0
13,0.0,100.0,JDK1.5-1-1.5,0.0,avrora,100.0,100.0
14,32.0,100.0,JDK1.5-1-1.5,11312.0,avrora,100.0,100.0
15,0.0,100.0,JDK1.5-1-1.5,0.0,avrora,100.0,100.0
16,31.0,100.0,JDK1.5-1-1.5,11603.0,avrora,100.0,100.0
17,0.0,100.0,JDK1.5-1-1.5,0.0,avrora,100.0,100.0
18,30.0,100.0,JDK1.5-1-1.5,10855.0,avrora,100.0,100.0
19,0.0,100.0,JDK1.5-1-1.5,0.0,avrora,100.0,100.0
20,31.0,100.0,JDK1.5-1-1.5,10652.0,avrora,100.0,100.0
