JVM,Mean,error,benchmark,Mode,GC,status
JDK2-2-1,-0.311143,0.009601,sunflow,CatsMeow,Optthruput,best
JDK2-2-2,-0.160805,0.010312,sunflow,CatsMeow,Optthruput,worst
Original,0.250318,0.014928,sunflow,CatsMeow,Optthruput,original
JDK2-2-1,0.147537,0.049831,xalan,CatsMeow,Balanced,best
Original,0.803524,0.052785,xalan,CatsMeow,Balanced,original
JDK2-2-2,0.934866,0.061041,xalan,CatsMeow,Balanced,worst
JDK2-2-1,-0.349445,0.008089,xalan,CatsMeow,Gencon,best
JDK2-2-2,-0.217637,0.00854,xalan,CatsMeow,Gencon,worst
Original,0.124996,0.012676,xalan,CatsMeow,Gencon,original
JDK2-2-1,-0.265115,0.012021,xalan,CatsMeow,OptAvgPause,best
JDK2-2-2,-0.053494,0.0129,xalan,CatsMeow,OptAvgPause,worst
Original,0.269023,0.016439,xalan,CatsMeow,OptAvgPause,original
JDK2-2-1,-0.416358,0.012731,xalan,CatsMeow,Optthruput,best
JDK2-2-2,-0.257771,0.014733,xalan,CatsMeow,Optthruput,worst
Original,-0.010872,0.017605,xalan,CatsMeow,Optthruput,original
JDK0.5-1-1.5,0.279703,0.056835,avrora,Circling,Balanced,best
JDK0.5-1-0.5,0.379078,0.056282,avrora,Circling,Balanced,worst
Original,0.681244,0.042143,avrora,Circling,Balanced,original
JDK1-1-0.5,-0.511235,0.011072,avrora,Circling,Gencon,worst
JDK0.5-1-0.5,-0.460322,0.013519,avrora,Circling,Gencon,best
Original,0.049939,0.011955,avrora,Circling,Gencon,original
JDK1-1-0.5,-0.411073,0.016433,avrora,Circling,OptAvgPause,best
JDK0.5-1-0.5,-0.326031,0.020611,avrora,Circling,OptAvgPause,worst
Original,0.245935,0.014648,avrora,Circling,OptAvgPause,original
JDK1-1-0.5,-0.440741,0.019309,avrora,Circling,Optthruput,best
JDK0.5-0.5-1,-0.355686,0.023875,avrora,Circling,Optthruput,worst
Original,0.015228,0.017083,avrora,Circling,Optthruput,original
JDK1-1-0.5,-0.431034,0.012092,jython,Circling,Balanced,best
JDK0.5-1-0.5,-0.346548,0.014759,jython,Circling,Balanced,worst
Original,0.096235,0.011748,jython,Circling,Balanced,original
JDK1-1-0.5,-0.449497,0.02112,jython,Circling,Gencon,best
